obce,polskie,razem,month
240,8,248,2015-01
227,8,235,2015-02
253,9,262,2015-03
262,17,279,2015-04
276,14,290,2015-05
283,27,310,2015-06
284,22,306,2015-07
268,16,284,2015-08
255,16,271,2015-09
276,16,292,2015-10
240,16,256,2015-11
231,21,252,2015-12
243,15,258,2016-01
235,14,249,2016-02
255,9,264,2016-03
257,16,273,2016-04
298,21,319,2016-05
278,22,300,2016-06
292,20,312,2016-07
276,19,295,2016-08
296,35,331,2016-09
286,24,310,2016-10
276,22,298,2016-11
238,16,254,2016-12
232,20,252,2017-01
231,19,250,2017-02
271,21,292,2017-03
307,16,323,2019-01
258,15,273,2017-04
278,27,305,2017-05
279,22,301,2017-06
307,25,332,2017-07
296,36,332,2017-08
305,29,334,2017-09
294,22,316,2017-10
316,15,331,2017-11
279,16,295,2017-12
275,23,298,2018-02
313,24,337,2018-03
329,36,365,2018-04
361,40,401,2018-05
339,25,364,2018-06
365,30,395,2018-07
378,37,415,2018-08
345,28,373,2018-09
362,28,390,2018-10
348,28,376,2018-11
291,20,311,2018-12
296,10,306,2018-01
290,19,309,2019-02
326,15,341,2019-03
330,22,352,2019-04
348,30,378,2019-05
309,24,333,2019-06
316,24,340,2019-07
327,23,350,2019-08
306,25,331,2019-09
326,19,345,2019-10
312,21,333,2019-11
285,17,302,2019-12
291,12,303,2020-01
274,19,293,2020-02
315,24,339,2020-03
267,11,278,2020-04
286,21,307,2020-05
294,23,317,2020-06
277,25,302,2020-07
283,15,298,2020-08
276,31,307,2020-09
313,25,338,2020-10
294,16,310,2020-11
282,20,302,2020-12
290,19,309,2021-01
